,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN
5124,5124,Renault,2016,999.0,Comprehensive,3.66,27097.0,Manual,1st Owner,67.0,Petrol,5.0,23.01,Hatchback,Chennai,kwid 1.0 rxt,TV6JWFVTXXTGLANB3
5125,5125,Hyundai,2016,1197.0,3rd Party,6.39,34392.0,Manual,1st Owner,81.83,Petrol,5.0,18.6,Hatchback,Chennai,i20 asta option 1.2,9LH7T2E9XY40NL432
5126,5126,Datsun,2019,1198.0,3rd Party,5.09,62431.0,Manual,2nd Owner,67.0,Petrol,7.0,19.83,MUV,Chennai,go plus t petrol,DR1YJA4570AJS3314
5127,5127,Tata,2022,1199.0,3rd Party,8.64,29607.0,Manual,1st Owner,86.63,Petrol,5.0,20.09,SUV,Chennai,punch kaziranga edition ira,1RZ50N0F0455EYWVT
5128,5128,Honda,2021,1498.0,Comprehensive,9.04,27094.0,Manual,2nd Owner,119.35,Petrol,5.0,18.6,Sedan,Chennai,city v mt,RCR5WCHLXAP0ZD8AP
5129,5129,Skoda,2021,999.0,3rd Party,12.26,8468.0,Automatic,1st Owner,108.62,Petrol,5.0,16.24,Sedan,Chennai,rapid 1.0 tsi style at,MSX51BJ8X43ST85J1
5130,5130,Tata,2021,1497.0,3rd Party,8.98,40629.0,Manual,1st Owner,88.77,Diesel,5.0,23.64,Hatchback,Chennai,altroz xz plus diesel bsvi,0UJ0FHKNXVTBBSGA1
5131,5131,Hyundai,2015,1197.0,3rd Party,5.58,98866.0,Manual,1st Owner,81.83,Petrol,5.0,18.6,Hatchback,Chennai,i20 asta 1.2,9V35ZCHNXSAY819PU
5132,5132,Hyundai,2018,1197.0,Comprehensive,7.0,39323.0,Automatic,2nd Owner,81.86,Petrol,5.0,17.4,Hatchback,Chennai,i20 petrol cvt asta,45LJNYL70ZJ8868LN
5133,5133,Maruti,2012,1248.0,3rd Party,3.85,75268.0,Manual,1st Owner,74.0,Diesel,5.0,22.9,Hatchback,Chennai,swift ldi,ZLU5KAH45CFXL0VAY
5134,5134,Tata,2022,1199.0,3rd Party,6.49,8848.0,Manual,1st Owner,84.82,Petrol,5.0,19.01,Hatchback,Chennai,tiago xt bsvi,7VHL26407GENXKWR9
5135,5135,Hyundai,2022,998.0,3rd Party,8.09,17197.0,Manual,1st Owner,98.63,Petrol,5.0,20.7,Hatchback,Chennai,grand i10 nios turbo sportz,572ELXSY42WEGXN0G
5136,5136,Nissan,2022,999.0,3rd Party,9.5,10000.0,Automatic,1st Owner,98.63,Petrol,5.0,17.4,SUV,Chennai,magnite turbo cvt xv bsvi,4F838ZTS0EMV03GHC
