,Unnamed: 0.1,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN,Extra_info
4827,4827,4827,Honda,2012,1799.0,3rd Party,4.25,66000.0,Manual,2nd Owner,130.3,Petrol,5.0,14.8,Sedan,Ahmedabad,Civic,542G60G8211DTT00N,1.8 V MT Sunroof
4828,4828,4828,Honda,2014,1498.0,3rd Party,3.25,72000.0,Manual,2nd Owner,98.6,Diesel,5.0,25.8,Sedan,Ahmedabad,Amaze,D9V6XUK24TNZKVMKX,S i-Dtech
4829,4829,4829,Chevrolet,2013,1199.0,3rd Party,1.55,38000.0,Manual,2nd Owner,79.4,Petrol,5.0,18.6,Hatchback,Ahmedabad,Beat,E6VEE1YN36D519TNR,LS
4830,4830,4830,Hyundai,2012,1495.0,Comprehensive,2.55,55000.0,Manual,2nd Owner,94.0,Petrol,5.0,13.2,Sedan,Ahmedabad,Accent,26ZPFXVMX4YJUVP3K,GLS
4831,4831,4831,Mahindra,2022,2198.0,Comprehensive,26.5,21000.0,Automatic,1st Owner,182.38,Diesel,7.0,,SUV,Ahmedabad,XUV700,F08BEVLN8YMGP5U95,AX7 Diesel AT Luxury Pack BSVI
4832,4832,4832,Hyundai,2019,1582.0,Comprehensive,9.9,78000.0,Automatic,2nd Owner,126.2,Diesel,5.0,22.0,Sedan,Ahmedabad,Verna,ULHBAPFP0TPPMAJAN,CRDi 1.6 AT SX Plus
4833,4833,4833,Hyundai,2015,1591.0,3rd Party,6.9,10000.0,Manual,1st Owner,121.3,Petrol,5.0,17.01,Sedan,Ahmedabad,Verna,ZWW5C9LM3ZHMK9K59,1.6 SX VTVT
4834,4834,4834,Hyundai,2017,1396.0,3rd Party,6.9,69000.0,Manual,1st Owner,88.73,Diesel,5.0,22.54,Hatchback,Ahmedabad,i20,C6HWAWSD2CV5HRZT7,Asta 1.4 CRDi
4835,4835,4835,Mahindra,2022,2198.0,Comprehensive,24.25,4722.0,Manual,1st Owner,172.45,Diesel,7.0,,SUV,Ahmedabad,Scorpio,MPYV6RPY6NRZ2BSDA,N Z8L Diesel 4x4 BSVI
4836,4836,4836,Hyundai,2020,1493.0,Comprehensive,10.75,45362.0,Manual,1st Owner,98.6,Diesel,5.0,23.7,SUV,Ahmedabad,Venue,GVC3NYNK5RKU3K6JW,SX Diesel
4837,4837,4837,Hyundai,2016,1197.0,Comprehensive,4.1,61000.0,Manual,1st Owner,81.86,Petrol,5.0,18.9,Hatchback,Ahmedabad,Grand,FNJAFWJ518JC35WA8,i10 Sportz
4838,4838,4838,Maruti,2018,1248.0,Comprehensive,9.9,60000.0,Manual,1st Owner,88.5,Diesel,7.0,24.52,MUV,Ahmedabad,Ertiga,B2KZFBXH8DVTXCN0M,SHVS ZDI Plus
4839,4839,4839,Maruti,2010,998.0,Comprehensive,2.11,32000.0,Manual,1st Owner,66.1,Petrol,5.0,19.0,Hatchback,Ahmedabad,A-Star,H1YYBUNG2B4EA6U0J,Lxi
4840,4840,4840,Maruti,2018,1248.0,3rd Party,7.51,48369.0,Manual,1st Owner,88.5,Diesel,5.0,28.09,Sedan,Ahmedabad,Ciaz,5X338SGL1F2G29RJ0,Alpha Diesel
4841,4841,4841,Maruti,2011,796.0,Comprehensive,1.51,67000.0,Manual,2nd Owner,46.3,Petrol,5.0,19.7,Hatchback,Ahmedabad,Alto,D99EY2DU1KMLFYHLB,LXi
4842,4842,4842,Hyundai,2018,1591.0,3rd Party,9.35,72000.0,Manual,1st Owner,121.3,Petrol,5.0,15.29,SUV,Ahmedabad,Creta,77TKB0RX72U5NM08K,1.6 VTVT SX Plus Dual Tone
4843,4843,4843,Tata,2021,1199.0,Comprehensive,7.3,28000.0,Manual,1st Owner,86.83,Petrol,5.0,19.33,Hatchback,Ahmedabad,Altroz,DBKFSTZR48FJ9YR91,XT
4844,4844,4844,MG,2020,1451.0,Zero Depreciation,13.25,42000.0,Automatic,2nd Owner,141.0,Petrol,5.0,13.96,SUV,Ahmedabad,Hector,DV3XD02J7B4R477AC,Sharp DCT
4845,4845,4845,Maruti,2022,1197.0,Comprehensive,6.21,8000.0,Automatic,1st Owner,65.71,Petrol,5.0,25.19,Hatchback,Ahmedabad,Wagon,S1H8JMF6X91MNZEYS,R VXI AT
4846,4846,4846,Renault,2020,999.0,Comprehensive,4.21,10000.0,Manual,1st Owner,67.06,Petrol,5.0,21.46,Hatchback,Ahmedabad,KWID,WHYDJ3VT4SBU1N1VU,1.0 RXL
4847,4847,4847,Chevrolet,2016,936.0,Comprehensive,2.65,75000.0,Manual,1st Owner,56.3,Diesel,5.0,25.44,Hatchback,Ahmedabad,Beat,HJSRPAD32B6LYTNNH,Diesel LS
4848,4848,4848,Volvo,2016,1969.0,Comprehensive,27.0,21000.0,Automatic,2nd Owner,367.0,Petrol,5.0,19.6,Sedan,Ahmedabad,S60,6JDD0Y0S2Z2L4BZ5D,T6
4849,4849,4849,Mahindra,2022,2184.0,3rd Party,15.9,17000.0,Manual,1st Owner,130.0,Diesel,4.0,15.2,SUV,Ahmedabad,Thar,00JHSZCA9UK0FUJKG,LX 4-Str Hard Top Diesel BSVI
